ID,Vendor,Text
0,Amazon Maps Terms of Use,amazon map term of use last updated may 29 2020
1,Amazon Maps Terms of Use,this is an agreement between you and amazon com service llc with it affiliate amazon we or u regarding the amazon map service data and associated software collectively the service before using the service please read these term of use all rule and policy related to the service including any specific rule usage restriction and other condition or procedure that we post or update on or through the service or on amazon com the amazon com privacy notice and the amazon com condition of use collectively the agreement if you use the service you are agreeing to the term and condition of the agreement
2,Amazon Maps Terms of Use,1 the map service
3,Amazon Maps Terms of Use,the service provides access to map route and traffic information satellite and street imagery business listing review and other related information collectively map data the service may provide map data from multiple source including other user and is intended for planning purpose only local weather condition construction project detour closure the passage of time incomplete or incorrect map data or other circumstance may cause actual travel condition route and location to differ from the map data you should always remain aware of your surroundings and exercise good judgment when using the service use of the service requires wi fi or cellular data connection we may offer the service only in certain jurisdiction if we impose technical measure to restrict usage of the service or portion thereof you may not interfere circumvent or attempt to interfere or circumvent such technical measure
4,Amazon Maps Terms of Use,2 use of the map service
5,Amazon Maps Terms of Use,2 1 map service software the service includes map data and software for your use in connection with the service the software term contained in the amazon com condition of use apply to your use of the software
6,Amazon Maps Terms of Use,2 2 third party term of use some part of the service are provided by third party licensors for additional term that apply to third party software included within the service please see amazon map other term and notice for additional term that apply to the portion of the service provided by our licensor nokia inc nokia please see http here com service term nokia ha the right to enforce these term against you a third party beneficiary of this agreement
7,Amazon Maps Terms of Use,2 3 restriction you may use the service only for personal non commercial use you may not copy modify or create derivative work of any map data or software otherwise use the map data or software in any way outside of the service except where you have been specifically licensed by amazon you may not use the service with any product system or application capable of vehicle navigation positioning dispatch real time route guidance fleet management or similar application or with or in communication with any positioning device or any mobile or wireless connected electronic or computer device
8,Amazon Maps Terms of Use,3 location and other information provided to amazon the service may provide amazon with information such a query problem report usage log your device type network connectivity real time geographic location of your device content used through the service or occurrence of technical error and other information regarding your use of the service and the device on which you use the service any information we receive is subject to the amazon com privacy notice
9,Amazon Maps Terms of Use,4 general
10,Amazon Maps Terms of Use,4 1 change amendment we may change suspend or discontinue the service or any part of it at any time without notice we may amend the agreement at our sole discretion by posting the revised term your continued use of the service after any amendment evidence your agreement to be bound by it
11,Amazon Maps Terms of Use,4 2 suspension and termination your right under the agreement will automatically terminate without notice if you fail to comply with the term of the agreement amazon failure to enforce your strict compliance with the agreement will not constitute waiver of any of our right we may terminate the agreement or restrict suspend or terminate your use of the service at our discretion at any time without notice
12,Amazon Maps Terms of Use,4 3 dispute binding arbitration any dispute or claim arising from or relating to the agreement or the service is subject to the binding arbitration governing law disclaimer of warranty limitation of liability and all other term in the amazon com condition of use
13,Amazon Maps Terms of Use,4 4 limitation of liability without limiting the disclaimer of warranty and limitation of liability in the amazon com condition of use in no event will our or our licensors total liability to you for all damage other than a may be required by applicable law in case involving personal injury arising out of or related to your use or inability to use the service exceed the amount of fifty dollar 50 00 these limitation will apply to you even if the remedy fail of their essential purpose
14,Amazon Maps Terms of Use,4 5 contact information for communication concerning the agreement please write to amazon com attn legal department o box 81226 seattle wa 98108 1226
